id,restr_name,food_ctg,addr,code
261,박광일참치,생선회,서울 종로구 자하문로 26-1,1606381653
262,옆구리터질뻔한김밥,김밥,서울 중구 퇴계로 66-1,1747612060
263,골목상회,한식,서울 강서구 강서로5나길 15 1층,1017641663
264,정하림 칼국수,"칼국수,만두",서울 송파구 충민로 5,1399758270
265,토담제물포옛날통닭,"치킨,닭강정",인천 미추홀구 수봉로 4 1층 제물포 옛날통닭,1429738866
266,봄비달빛아래,요리주점,"서울 서대문구 증가로10길 22 1층, 봄비달빛아래",1514692712
267,공간,이자카야,서울 은평구 연서로24길 9-1 1층 이자카야 공간,1148518716
268,길동우동 홍제점,"우동,소바",서울 서대문구 통일로 402-1 1층,1088362137
269,피쉬앤그릴 제물포점,요리주점,인천 미추홀구 석정로202번길 12-5,12860215
270,돈통마늘보쌈 안산시청점,"족발,보쌈",경기 안산시 단원구 화랑로 398,1286554033
271,백억커피 평촌역점,"카페,디저트",경기 안양시 동안구 시민대로 273 1층 107호,1897118377
272,퓨전돈까스,양식,경기 양주시 평화로1435번길 55,30838492
273,니캉내캉,한식,서울 성동구 마조로3가길 25,17899991
274,전주남부시장순대국밥,"순대,순댓국",서울 용산구 녹사평대로 218 201호 2층,1274510271
275,육초참치 석계역점,생선회,서울 성북구 한천로76다길 46 1층,1994127957
276,노군꼬치 주안점,이자카야,인천 미추홀구 경인로 320 1층 노군꼬치,1498647708
277,디저트39 인천주안점,카페,인천 미추홀구 주안로 92 다동 1층 101호,1977709749
278,장미꽃 떡볶이&라면 광명M클러스터점,떡볶이,"경기 광명시 덕안로104번길 17 . 141호(일직동, 광명역M클러스터)",1805418393
279,또가볼까,"맥주,호프",경기 하남시 하남대로783번길 34,1364299849
280,드코스모,카페,서울 강남구 도산대로 508 호텔 엔트라,631535448
281,푸릴리 천안아산역점,돈가스,충남 아산시 배방읍 희망로46번길 42-8 대호빌딩 1층,1099123692
282,석정,한식,서울 종로구 세종대로23길 54,1060475032
283,오장동불고기냉면,"육류,고기요리",서울 성북구 화랑로 268 1층,1812745263
284,경복궁삼계탕 고양삼송,"백숙,삼계탕",경기 고양시 덕양구 권율대로 755-1 1층,477278378
285,은안국,"치킨,닭강정",서울 종로구 북촌로5길 2 1층,1934283940
286,본죽 송파엄마손점,죽,서울 송파구 가락로 113 금도빌딩101호,1899858579
287,진칼국수,"칼국수,만두",서울 영등포구 국제금융로 78 2층,18572869
288,호기하우스,샌드위치,서울 강동구 성내로 7 1층 102호 호기하우스,1269718193
289,지코바치킨 쌍용점,"치킨,닭강정",충남 천안시 서북구 다가말3길 20 권이빌딩,17390908
290,인크커피 가산점,"카페,디저트",서울 금천구 가산디지털2로 127-20,1232726331
291,신전떡볶이 갈현점,분식,서울 은평구 갈현로29길 12-1 103호 신전떡볶이,33811335
